ear,label
0.4206392624548049,0
0.3864242470466739,0
0.446248025194674,0
0.38869072728067233,0
0.700183842652891,0
0.30756220454556377,0
0.30454326541586807,0
0.3617341941153893,0
0.3485336809716602,0
0.33589268149453216,0
0.2286029495613307,0
0.27262107963044574,0
0.46821792093632625,0
0.26018624350109576,0
0.36051687320922443,0
0.36026576802407895,0
0.2654749443113571,0
0.3200732057650778,0
0.36506863987277804,0
0.32499042957255675,0
0.4526166923501601,0
0.29489452815468686,0
0.3590573884709599,0
0.30804805735764373,0
0.29063237572068046,0
0.5536139316042649,0
0.5831959576170204,0
0.3584438421844449,0
0.28298756316079343,0
0.3276417779976043,0
0.3415987406534613,0
0.3085699729977951,0
0.3990464448930391,0
0.2917639381035337,0
0.43191391097460496,1
0.17906114442158338,1
0.20211087368266994,1
0.11570651571848206,1
0.32300785827733636,1
0.2843100767913645,1
0.26043692789836237,1
0.2761019677643861,1
0.2859189601660386,1
0.3503415376640956,1
0.1384116680506575,1
0.28176156917368245,1
0.3756152199916963,1
0.16202304882773522,1
