htr,label
0.09090908953168046,0
0.0,0
0.050847456765297346,0
0.013157894563711914,0
0.11111110934744271,0
0.10714285522959188,0
0.10169491353059469,0
0.07692307573964499,0
0.12068965309155771,0
0.09090908953168046,0
0.03278688470841173,0
0.2444444390123458,0
0.0,0
0.07692307544378701,0
0.11111110934744271,0
0.056338027375520745,0
0.074626864557808,0
0.11627906706327752,0
0.11999999840000003,0
0.0149253729115616,0
0.16393442354205864,0
0.04838709599375652,0
0.0149253729115616,0
0.07142857015306125,0
0.02409638525185078,0
0.23529411418685128,0
0.34545453917355384,0
0.12727272495867772,0
0.25806451196670144,0
0.20408162848813005,0
0.0,0
0.016666666388888893,0
0.015624999755859379,0
0.06153846059171599,0
0.0888888869135803,0
0.01886792417230332,0
0.17307691974852077,0
0.08620689506539836,0
0.3902438929208807,1
0.06382978587596201,1
0.03896103845505145,1
0.12499999776785718,1
0.1578947340720222,1
0.0,1
0.017543859341335802,1
0.056603772516909956,1
0.0,1
0.15873015621063244,1
0.03846153772189351,1
